-40.29483,-20.28144,0
          -40.29492,-20.28133,0
          -40.29547,-20.28056,0
          -40.29564,-20.28036,0
          -40.29571,-20.2804,0
          -40.29548,-20.28072,0
          -40.29492,-20.28147,0
          -40.29467,-20.28178,0
          -40.29439,-20.28215,0
          -40.29442,-20.28217,0
          -40.29444,-20.2822,0
          -40.29446,-20.28223,0
          -40.29448,-20.28226,0
          -40.2945,-20.28229,0
          -40.29451,-20.28233,0
          -40.29452,-20.28236,0
          -40.29453,-20.28239,0
          -40.29483,-20.28234,0
          -40.29509,-20.2823,0
          -40.29546,-20.28225,0
          -40.29574,-20.28221,0
          -40.29607,-20.28218,0
          -40.29635,-20.28215,0
          -40.29674,-20.28209,0
          -40.29706,-20.28204,0
          -40.29741,-20.282,0
          -40.29771,-20.28195,0
          -40.29798,-20.28191,0
          -40.29824,-20.28186,0
          -40.29823,-20.28184,0
          -40.29823,-20.28181,0
          -40.29822,-20.28179,0
          -40.29822,-20.28176,0
          -40.29822,-20.28174,0
          -40.29822,-20.28171,0
          -40.29823,-20.28169,0
          -40.29825,-20.28162,0
          -40.29832,-20.28155,0
          -40.29836,-20.28152,0
          -40.29839,-20.2815,0
          -40.29845,-20.28148,0
          -40.29851,-20.28145,0
          -40.29858,-20.28144,0
          -40.29865,-20.28143,0
          -40.29873,-20.28143,0
          -40.2988,-20.28144,0
          -40.29882,-20.28145,0
          -40.29884,-20.28145,0
          -40.29886,-20.28146,0
          -40.29888,-20.28146,0
          -40.2989,-20.28147,0
          -40.29892,-20.28148,0
          -40.29894,-20.28149,0
          -40.29895,-20.2815,0
          -40.29899,-20.28152,0
          -40.29901,-20.28155,0
          -40.29904,-20.28158,0
          -40.29906,-20.28161,0
          -40.29908,-20.28164,0
          -40.2991,-20.28168,0
          -40.29911,-20.28172,0
          -40.29913,-20.28175,0
          -40.29938,-20.28173,0
          -40.29968,-20.28169,0
          -40.29999,-20.28166,0
          -40.3003,-20.28163,0
          -40.30064,-20.28158,0
          -40.30065,-20.28157,0
          -40.30098,-20.28152,0
          -40.30142,-20.28147,0
          -40.30165,-20.28145,0
          -40.30177,-20.28144,0
